comment,post_type
"You're going to lose followers for this","organic - ragebait"
"Respectfully this is a bad take","organic - ragebait"
"The delusion is real with this post","organic - ragebait"
"Not you trying to go viral with controversy","organic - ragebait"
"This is giving desperate for clicks","organic - ragebait"
"The comments did not disappoint","organic - ragebait"
"You really thought you did something here","organic - ragebait"
"Chronically online behavior tbh","organic - ragebait"
"The internet was a mistake","organic - ragebait"
"Someone come get their influencer","organic - ragebait"
"This will age like milk guarantee it","organic - ragebait"
"Bookmarking for the inevitable apology video","organic - ragebait"
"The way this is textbook engagement bait","organic - ragebait"
"You're better than this content honestly","organic - ragebait"
"Not surprised just disappointed","organic - ragebait"
"The narcissism jumped out","organic - ragebait"
"Imagine posting this and thinking it's okay","organic - ragebait"
"Your PR team is sweating right now","organic - ragebait"
"This belongs on influencers in the wild","organic - ragebait"
"The audacity is astronomical","organic - ragebait"
"Some thoughts should stay in the drafts","organic - ragebait"
"Touch grass immediately please","organic - ragebait"
"This is why people hate influencers ngl","organic - ragebait"
"The lack of self awareness is stunning","organic - ragebait"
"Screenshot before she deletes","organic - ragebait"
"Social media was a mistake exhibit A","organic - ragebait"
"You didn't pass the vibe check on this one","organic - ragebait"
"Genuinely cannot believe you posted this","organic - ragebait"
"The clout chasing is embarrassing","organic - ragebait"
"This post officer right here","organic - ragebait"
